Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  490 : gt = 136 , t1 = 269.3988 , t2 = 270.6636 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  491 : gt = 123 , t1 = 248.9080 , t2 = 250.2044 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  492 : gt = 124 , t1 = 250.2044 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  493 : gt = 124 , t1 = 189.2738 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  494 : gt = 124 , t1 =  58.3930 , t2 = 250.0745 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  495 : gt = 124 , t1 = 128.3432 , t2 = 255.3900 . avg.P-score = 0.0360 , ALOTC-score= 1 *
id =  496 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  497 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  498 : gt = 124 , t1 =  58.3378 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  499 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  500 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  501 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  502 : gt = 124 , t1 = 250.0745 , t2 = 252.6133 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  503 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  504 : gt = 124 , t1 =  62.2270 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  505 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  506 : gt = 124 , t1 = 246.3153 , t2 = 247.6117 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  507 : gt = 124 , t1 = 238.5369 , t2 = 239.8333 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  508 : gt = 124 , t1 = 230.7585 , t2 = 232.0549 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  509 : gt = 124 , t1 = 248.9080 , t2 = 252.7972 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  510 : gt = 124 , t1 = 255.3900 , t2 = 257.9828 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  511 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  512 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  513 : gt = 116 , t1 = 239.8333 , t2 = 241.1297 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  514 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  515 : gt = 124 , t1 = 251.5008 , t2 = 252.7972 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  516 : gt = 124 , t1 = 256.6864 , t2 = 257.9828 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  517 : gt = 108 , t1 = 224.2765 , t2 = 225.5729 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  518 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  519 : gt = 124 , t1 =  59.6342 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  520 : gt = 124 , t1 = 246.3153 , t2 = 247.6117 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  521 : gt = 120 , t1 = 245.0189 , t2 = 246.3153 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  522 : gt = 112 , t1 = 117.9720 , t2 = 119.2684 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  523 : gt = 124 , t1 =  55.7450 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  524 : gt = 124 , t1 =  57.0414 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  525 : gt = 124 , t1 =  57.0414 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  526 : gt = 116 , t1 =  57.0414 , t2 = 239.8333 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  527 : gt = 108 , t1 = 221.6837 , t2 = 222.9801 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  528 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  529 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  530 : gt = 124 , t1 = 256.6864 , t2 = 257.9828 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  531 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  532 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  533 : gt = 116 , t1 = 241.1297 , t2 = 242.4261 . avg.P-score = 0.0000 , ALOTC-score= 0
id =  534 : gt = 124 , t1 = 259.2792 , t2 = 260.5756 . avg.P-score = 0.0000 , ALOTC-score= 0
