floats only print 4.4f
Cha Cha
id =  489 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  490 : gt = 136 , t1 = 269.3988 , t2 = 270.6636 . t1/t2 = 1.0047 , t1/gt = 1.9809 , t2/gt = 1.9902
id =  491 : gt = 123 , t1 = 248.9080 , t2 = 250.2044 . t1/t2 = 1.0052 , t1/gt = 2.0236 , t2/gt = 2.0342
id =  492 : gt = 124 , t1 = 250.2044 , t2 = 255.3900 . t1/t2 = 1.0207 , t1/gt = 2.0178 , t2/gt = 2.0596
id =  493 : gt = 124 , t1 = 189.2738 , t2 = 255.3900 . t1/t2 = 1.3493 , t1/gt = 1.5264 , t2/gt = 2.0596
id =  494 : gt = 124 , t1 =  58.3930 , t2 = 250.0745 . t1/t2 = 4.2826 , t1/gt = 0.4709 , t2/gt = 2.0167
id =  495 : gt = 124 , t1 = 128.3432 , t2 = 255.3900 . t1/t2 = 1.9899 , t1/gt = 1.0350 , t2/gt = 2.0596
id =  496 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  497 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  498 : gt = 124 , t1 =  58.3378 , t2 = 255.3900 . t1/t2 = 4.3778 , t1/gt = 0.4705 , t2/gt = 2.0596
id =  499 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  500 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  501 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  502 : gt = 124 , t1 = 250.0745 , t2 = 252.6133 . t1/t2 = 1.0102 , t1/gt = 2.0167 , t2/gt = 2.0372
id =  503 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  504 : gt = 124 , t1 =  62.2270 , t2 = 255.3900 . t1/t2 = 4.1042 , t1/gt = 0.5018 , t2/gt = 2.0596
id =  505 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  506 : gt = 124 , t1 = 246.3153 , t2 = 247.6117 . t1/t2 = 1.0053 , t1/gt = 1.9864 , t2/gt = 1.9969
id =  507 : gt = 124 , t1 = 238.5369 , t2 = 239.8333 . t1/t2 = 1.0054 , t1/gt = 1.9237 , t2/gt = 1.9341
id =  508 : gt = 124 , t1 = 230.7585 , t2 = 232.0549 . t1/t2 = 1.0056 , t1/gt = 1.8610 , t2/gt = 1.8714
id =  509 : gt = 124 , t1 = 248.9080 , t2 = 252.7972 . t1/t2 = 1.0156 , t1/gt = 2.0073 , t2/gt = 2.0387
id =  510 : gt = 124 , t1 = 255.3900 , t2 = 257.9828 . t1/t2 = 1.0102 , t1/gt = 2.0596 , t2/gt = 2.0805
id =  511 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  512 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  513 : gt = 116 , t1 = 239.8333 , t2 = 241.1297 . t1/t2 = 1.0054 , t1/gt = 2.0675 , t2/gt = 2.0787
id =  514 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  515 : gt = 124 , t1 = 251.5008 , t2 = 252.7972 . t1/t2 = 1.0052 , t1/gt = 2.0282 , t2/gt = 2.0387
id =  516 : gt = 124 , t1 = 256.6864 , t2 = 257.9828 . t1/t2 = 1.0051 , t1/gt = 2.0701 , t2/gt = 2.0805
id =  517 : gt = 108 , t1 = 224.2765 , t2 = 225.5729 . t1/t2 = 1.0058 , t1/gt = 2.0766 , t2/gt = 2.0886
id =  518 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  519 : gt = 124 , t1 =  59.6342 , t2 = 255.3900 . t1/t2 = 4.2826 , t1/gt = 0.4809 , t2/gt = 2.0596
id =  520 : gt = 124 , t1 = 246.3153 , t2 = 247.6117 . t1/t2 = 1.0053 , t1/gt = 1.9864 , t2/gt = 1.9969
id =  521 : gt = 120 , t1 = 245.0189 , t2 = 246.3153 . t1/t2 = 1.0053 , t1/gt = 2.0418 , t2/gt = 2.0526
id =  522 : gt = 112 , t1 = 117.9720 , t2 = 119.2684 . t1/t2 = 1.0110 , t1/gt = 1.0533 , t2/gt = 1.0649
id =  523 : gt = 124 , t1 =  55.7450 , t2 = 255.3900 . t1/t2 = 4.5814 , t1/gt = 0.4496 , t2/gt = 2.0596
id =  524 : gt = 124 , t1 =  57.0414 , t2 = 255.3900 . t1/t2 = 4.4773 , t1/gt = 0.4600 , t2/gt = 2.0596
id =  525 : gt = 124 , t1 =  57.0414 , t2 = 255.3900 . t1/t2 = 4.4773 , t1/gt = 0.4600 , t2/gt = 2.0596
id =  526 : gt = 116 , t1 =  57.0414 , t2 = 239.8333 . t1/t2 = 4.2045 , t1/gt = 0.4917 , t2/gt = 2.0675
id =  527 : gt = 108 , t1 = 221.6837 , t2 = 222.9801 . t1/t2 = 1.0058 , t1/gt = 2.0526 , t2/gt = 2.0646
id =  528 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  529 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  530 : gt = 124 , t1 = 256.6864 , t2 = 257.9828 . t1/t2 = 1.0051 , t1/gt = 2.0701 , t2/gt = 2.0805
id =  531 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  532 : gt = 100 , t1 = 206.1270 , t2 = 207.4234 . t1/t2 = 1.0063 , t1/gt = 2.0613 , t2/gt = 2.0742
id =  533 : gt = 116 , t1 = 241.1297 , t2 = 242.4261 . t1/t2 = 1.0054 , t1/gt = 2.0787 , t2/gt = 2.0899
id =  534 : gt = 124 , t1 = 259.2792 , t2 = 260.5756 . t1/t2 = 1.0050 , t1/gt = 2.0910 , t2/gt = 2.1014
id =  535 : gt = 128 , t1 =  57.0414 , t2 = 261.8720 . t1/t2 = 4.5909 , t1/gt = 0.4456 , t2/gt = 2.0459
id =  536 : gt = 124 , t1 = 116.6756 , t2 = 255.3900 . t1/t2 = 2.1889 , t1/gt = 0.9409 , t2/gt = 2.0596
id =  537 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  538 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  539 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  540 : gt = 124 , t1 = 255.3900 , t2 = 259.2792 . t1/t2 = 1.0152 , t1/gt = 2.0596 , t2/gt = 2.0910
id =  541 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  542 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  543 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  544 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  545 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  546 : gt = 116 , t1 = 235.9441 , t2 = 237.2405 . t1/t2 = 1.0055 , t1/gt = 2.0340 , t2/gt = 2.0452
id =  547 : gt = 124 , t1 = 123.1576 , t2 = 255.3900 . t1/t2 = 2.0737 , t1/gt = 0.9932 , t2/gt = 2.0596
id =  548 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  549 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  550 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  551 : gt = 124 , t1 = 252.7972 , t2 = 255.3900 . t1/t2 = 1.0103 , t1/gt = 2.0387 , t2/gt = 2.0596
id =  552 : gt = 124 , t1 = 252.7972 , t2 = 255.3900 . t1/t2 = 1.0103 , t1/gt = 2.0387 , t2/gt = 2.0596
id =  553 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  554 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  555 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  556 : gt = 124 , t1 = 255.3900 , t2 = 256.6864 . t1/t2 = 1.0051 , t1/gt = 2.0596 , t2/gt = 2.0701
id =  557 : gt = 124 , t1 = 128.3432 , t2 = 255.3900 . t1/t2 = 1.9899 , t1/gt = 1.0350 , t2/gt = 2.0596
id =  558 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  559 : gt = 124 , t1 =  60.9306 , t2 = 255.3900 . t1/t2 = 4.1915 , t1/gt = 0.4914 , t2/gt = 2.0596
id =  560 : gt = 124 , t1 = 254.0936 , t2 = 255.3900 . t1/t2 = 1.0051 , t1/gt = 2.0491 , t2/gt = 2.0596
id =  561 : gt =  92 , t1 = 190.5702 , t2 = 191.8666 . t1/t2 = 1.0068 , t1/gt = 2.0714 , t2/gt = 2.0855
id =  562 : gt = 124 , t1 = 259.6902 , t2 = 260.9952 . t1/t2 = 1.0050 , t1/gt = 2.0943 , t2/gt = 2.1048
id =  563 : gt = 124 , t1 = 254.4703 , t2 = 255.7752 . t1/t2 = 1.0051 , t1/gt = 2.0522 , t2/gt = 2.0627
id =  564 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  565 : gt = 124 , t1 = 255.7752 , t2 = 257.0802 . t1/t2 = 1.0051 , t1/gt = 2.0627 , t2/gt = 2.0732
id =  566 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . t1/t2 = 1.0051 , t1/gt = 2.0240 , t2/gt = 2.0344
id =  567 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . t1/t2 = 1.0051 , t1/gt = 2.0240 , t2/gt = 2.0344
id =  568 : gt = 124 , t1 = 250.9797 , t2 = 252.2602 . t1/t2 = 1.0051 , t1/gt = 2.0240 , t2/gt = 2.0344
