/home/slee/miniconda3/bin/python /home/slee/Desktop/code/mir-hw2/q3.py
floats only print 4.4f



tempo / 2 :


Cha Cha
id =  489 : gt = 124 , t1 = 127.8876 , t2 = 128.5401 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  490 : gt = 136 , t1 = 134.6994 , t2 = 135.3318 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  491 : gt = 123 , t1 = 124.4540 , t2 = 125.1022 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  492 : gt = 124 , t1 = 125.1022 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  493 : gt = 124 , t1 =  94.6369 , t2 = 127.6950 . avg.P-score = 0.2916 , ALOTC-score= 1 *
id =  494 : gt = 124 , t1 =  29.1965 , t2 = 125.0372 . avg.P-score = 0.9564 , ALOTC-score= 1 *
id =  495 : gt = 124 , t1 =  64.1716 , t2 = 127.6950 . avg.P-score = 0.4514 , ALOTC-score= 1 *
id =  496 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  497 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  498 : gt = 124 , t1 =  29.1689 , t2 = 127.6950 . avg.P-score = 0.4301 , ALOTC-score= 1 *
id =  499 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  500 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  501 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  502 : gt = 124 , t1 = 125.0372 , t2 = 126.3066 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  503 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  504 : gt = 124 , t1 =  31.1135 , t2 = 127.6950 . avg.P-score = 0.3609 , ALOTC-score= 1 *
id =  505 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  506 : gt = 124 , t1 = 123.1576 , t2 = 123.8058 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  507 : gt = 124 , t1 = 119.2684 , t2 = 119.9166 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  508 : gt = 124 , t1 = 115.3793 , t2 = 116.0274 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  509 : gt = 124 , t1 = 124.4540 , t2 = 126.3986 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  510 : gt = 124 , t1 = 127.6950 , t2 = 128.9914 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  511 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  512 : gt = 124 , t1 = 127.0468 , t2 = 127.6950 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  513 : gt = 116 , t1 = 119.9166 , t2 = 120.5648 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  514 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  515 : gt = 124 , t1 = 125.7504 , t2 = 126.3986 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  516 : gt = 124 , t1 = 128.3432 , t2 = 128.9914 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  517 : gt = 108 , t1 = 112.1383 , t2 = 112.7865 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  518 : gt = 124 , t1 = 127.6950 , t2 = 128.3432 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  519 : gt = 124 , t1 =  29.8171 , t2 = 127.6950 . avg.P-score = 0.4509 , ALOTC-score= 1 *
id =  520 : gt = 124 , t1 = 123.1576 , t2 = 123.8058 . avg.P-score = 1.0000 , ALOTC-score= 1 *
id =  521 : gt = 120 , t1 = 122.5094 , t2 = 123.1576 . avg.P-score = 1.0000 , ALOTC-score= 1 *
