/Users/LEE/anaconda3/python.app/Contents/MacOS/python /Users/LEE/PycharmProjects/mir-hw2/q4.py
Cha Cha
id = 489 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0523 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 490 , gt =136 , t1 = 123.0469 , t2 =135.9992 . P-score = 0.4531 , ALOTC = 1 . t1/t2 = 1.1053 , t1/gt = 0.9048 , t2/gt = 1.0000
id = 491 , gt =123 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9549 , t2/gt = 1.0004
id = 492 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0546 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 493 , gt =124 , t1 = 123.0469 , t2 =234.9077 . P-score = 0.0456 , ALOTC = 1 . t1/t2 = 1.9091 , t1/gt = 0.9923 , t2/gt = 1.8944
id = 494 , gt =124 , t1 =  63.0240 , t2 =123.0469 . P-score = 0.9535 , ALOTC = 1 . t1/t2 = 1.9524 , t1/gt = 0.5083 , t2/gt = 0.9923
id = 495 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0379 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 496 , gt =124 , t1 = 123.0469 , t2 =161.4990 . P-score = 0.0142 , ALOTC = 1 . t1/t2 = 1.3125 , t1/gt = 0.9923 , t2/gt = 1.3024
id = 497 , gt =124 , t1 =  80.7495 , t2 =123.0469 . P-score = 0.5268 , ALOTC = 1 . t1/t2 = 1.5238 , t1/gt = 0.6512 , t2/gt = 0.9923
id = 498 , gt =124 , t1 = 123.0469 , t2 =161.4990 . P-score = 0.0221 , ALOTC = 1 . t1/t2 = 1.3125 , t1/gt = 0.9923 , t2/gt = 1.3024
id = 499 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0508 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 500 , gt =124 , t1 =  95.7031 , t2 =123.0469 . P-score = 0.4174 , ALOTC = 1 . t1/t2 = 1.2857 , t1/gt = 0.7718 , t2/gt = 0.9923
id = 501 , gt =124 , t1 =  83.3543 , t2 =123.0469 . P-score = 0.5151 , ALOTC = 1 . t1/t2 = 1.4762 , t1/gt = 0.6722 , t2/gt = 0.9923
id = 502 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.6043 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 503 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0402 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 504 , gt =124 , t1 = 123.0469 , t2 =161.4990 . P-score = 0.0117 , ALOTC = 1 . t1/t2 = 1.3125 , t1/gt = 0.9923 , t2/gt = 1.3024
id = 505 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0346 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 506 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 507 , gt =124 , t1 = 112.3471 , t2 =117.4538 . P-score = 0.4814 , ALOTC = 1 . t1/t2 = 1.0455 , t1/gt = 0.9060 , t2/gt = 0.9472
id = 508 , gt =124 , t1 =  73.8281 , t2 =112.3471 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5217 , t1/gt = 0.5954 , t2/gt = 0.9060
id = 509 , gt =124 , t1 = 123.0469 , t2 =172.2656 . P-score = 0.0196 , ALOTC = 1 . t1/t2 = 1.4000 , t1/gt = 0.9923 , t2/gt = 1.3892
id = 510 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 511 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0392 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 512 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 513 , gt =116 , t1 = 117.4538 , t2 =215.3320 . P-score = 0.1102 , ALOTC = 1 . t1/t2 = 1.8333 , t1/gt = 1.0125 , t2/gt = 1.8563
id = 514 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 515 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 516 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0404 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 517 , gt =108 , t1 = 107.6660 , t2 =112.3471 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0435 , t1/gt = 0.9969 , t2/gt = 1.0403
id = 518 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0449 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 519 , gt =124 , t1 = 123.0469 , t2 =161.4990 . P-score = 0.0343 , ALOTC = 1 . t1/t2 = 1.3125 , t1/gt = 0.9923 , t2/gt = 1.3024
id = 520 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 521 , gt =120 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9788 , t2/gt = 1.0254
id = 522 , gt =112 , t1 = 112.3471 , t2 =117.4538 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0455 , t1/gt = 1.0031 , t2/gt = 1.0487
id = 523 , gt =124 , t1 =  80.7495 , t2 =123.0469 . P-score = 0.4056 , ALOTC = 1 . t1/t2 = 1.5238 , t1/gt = 0.6512 , t2/gt = 0.9923
id = 524 , gt =124 , t1 =  78.3026 , t2 =123.0469 . P-score = 0.5283 , ALOTC = 1 . t1/t2 = 1.5714 , t1/gt = 0.6315 , t2/gt = 0.9923
id = 525 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0464 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 526 , gt =116 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 1.0125 , t2/gt = 1.0607
id = 527 , gt =108 , t1 = 107.6660 , t2 =151.9991 . P-score = 0.0386 , ALOTC = 1 . t1/t2 = 1.4118 , t1/gt = 0.9969 , t2/gt = 1.4074
id = 528 , gt =124 , t1 =  83.3543 , t2 =123.0469 . P-score = 0.3984 , ALOTC = 1 . t1/t2 = 1.4762 , t1/gt = 0.6722 , t2/gt = 0.9923
id = 529 , gt =124 , t1 = 123.0469 , t2 =135.9992 . P-score = 0.0194 , ALOTC = 1 . t1/t2 = 1.1053 , t1/gt = 0.9923 , t2/gt = 1.0968
id = 530 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0568 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 531 , gt =124 , t1 = 117.4538 , t2 =123.0469 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0476 , t1/gt = 0.9472 , t2/gt = 0.9923
id = 532 , gt =100 , t1 =  99.3840 , t2 =198.7680 . P-score = 0.0575 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9938 , t2/gt = 1.9877
id = 533 , gt =116 , t1 = 103.3594 , t2 =117.4538 . P-score = 0.4907 , ALOTC = 1 . t1/t2 = 1.1364 , t1/gt = 0.8910 , t2/gt = 1.0125
id = 534 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 535 , gt =128 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9613 , t2/gt = 1.0094
id = 536 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 537 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0433 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 538 , gt =124 , t1 = 123.0469 , t2 =129.1992 . P-score = 1.0000 , ALOTC = 1 . t1/t2 = 1.0500 , t1/gt = 0.9923 , t2/gt = 1.0419
id = 539 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0871 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 540 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0181 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 541 , gt =124 , t1 = 123.0469 , t2 =151.9991 . P-score = 0.0180 , ALOTC = 1 . t1/t2 = 1.2353 , t1/gt = 0.9923 , t2/gt = 1.2258
id = 542 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0275 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 543 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0511 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 544 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0387 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
id = 545 , gt =124 , t1 = 123.0469 , t2 =246.0938 . P-score = 0.0234 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.9923 , t2/gt = 1.9846
