tempo / 2 :


Cha Cha
id = 489 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3539 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 490 , gt =136 , t1 =  61.5234 , t2 = 67.9996 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 0.4524 , t2/gt = 0.5000
id = 491 , gt =123 , t1 =  58.7269 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 0.4775 , t2/gt = 0.5002
id = 492 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4157 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 493 , gt =124 , t1 =  61.5234 , t2 =117.4538 . P-score = 0.3201 , ALOTC = 1 . t1/t2 = 1.9091 , t1/gt = 0.4962 , t2/gt = 0.9472
id = 494 , gt =124 , t1 =  31.5120 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9524 , t1/gt = 0.2541 , t2/gt = 0.4962
id = 495 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4646 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 496 , gt =124 , t1 =  61.5234 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 0.4962 , t2/gt = 0.6512
id = 497 , gt =124 , t1 =  40.3748 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 0.3256 , t2/gt = 0.4962
id = 498 , gt =124 , t1 =  61.5234 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 0.4962 , t2/gt = 0.6512
id = 499 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4376 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 500 , gt =124 , t1 =  47.8516 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.2857 , t1/gt = 0.3859 , t2/gt = 0.4962
id = 501 , gt =124 , t1 =  41.6772 , t2 = 61.5234 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.4762 , t1/gt = 0.3361 , t2/gt = 0.4962
id = 502 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.9650 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 503 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.4429 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
id = 504 , gt =124 , t1 =  61.5234 , t2 = 80.7495 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 0.4962 , t2/gt = 0.6512
id = 505 , gt =124 , t1 =  61.5234 , t2 =123.0469 . P-score = 0.3641 , ALOTC = 1 . t1/t2 = 2.0000 , t1/gt = 0.4962 , t2/gt = 0.9923
