/home/slee/miniconda3/bin/python /home/slee/Desktop/code/mir-hw2/q5.py



tempo / 2 :


Cha Cha
id = 489 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 490 , gt =136 , t1 = 246.0938 , t2 =271.9984 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.1053 , t1/gt = 1.8095 , t2/gt = 2.0000
id = 491 , gt =123 , t1 = 234.9077 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.0476 , t1/gt = 1.9098 , t2/gt = 2.0008
id = 492 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 493 , gt =124 , t1 = 246.0938 , t2 =469.8153 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.9091 , t1/gt = 1.9846 , t2/gt = 3.7888
id = 494 , gt =124 , t1 = 126.0480 , t2 =246.0938 . P-score = 0.5427 , ALOTC = 1 . t1/t2 = 1.9524 , t1/gt = 1.0165 , t2/gt = 1.9846
id = 495 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
id = 496 , gt =124 , t1 = 246.0938 , t2 =322.9980 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 1.9846 , t2/gt = 2.6048
id = 497 , gt =124 , t1 = 161.4990 , t2 =246.0938 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.5238 , t1/gt = 1.3024 , t2/gt = 1.9846
id = 498 , gt =124 , t1 = 246.0938 , t2 =322.9980 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 1.3125 , t1/gt = 1.9846 , t2/gt = 2.6048
id = 499 , gt =124 , t1 = 246.0938 , t2 =492.1875 . P-score = 0.0000 , ALOTC = 0 . t1/t2 = 2.0000 , t1/gt = 1.9846 , t2/gt = 3.9693
